transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
02/1/22 0:00:00,subway,455,69 St (7),Queens,metrocard,Metrocard - Unlimited 30-Day,2,0,40.74632645,-73.89640045,POINT (-73.89640045166016 40.7463264465332)
02/1/22 0:00:00,subway,455,69 St (7),Queens,metrocard,Metrocard - Unlimited 7-Day,3,0,40.74632645,-73.89640045,POINT (-73.89640045166016 40.7463264465332)
02/1/22 0:00:00,subway,456,61 St-Woodside (7),Queens,metrocard,Metrocard - Full Fare,4,0,40.74562836,-73.90298462,POINT (-73.90298461914062 40.745628356933594)
02/1/22 0:00:00,subway,456,61 St-Woodside (7),Queens,metrocard,Metrocard - Other,2,0,40.74562836,-73.90298462,POINT (-73.90298461914062 40.745628356933594)
02/1/22 0:00:00,subway,456,61 St-Woodside (7),Queens,metrocard,Metrocard - Unlimited 7-Day,8,0,40.74562836,-73.90298462,POINT (-73.90298461914062 40.745628356933594)
02/1/22 0:00:00,subway,456,61 St-Woodside (7),Queens,metrocard,Metrocard - Unlimited 30-Day,5,0,40.74562836,-73.90298462,POINT (-73.90298461914062 40.745628356933594)
02/1/22 0:00:00,subway,457,52 St (7),Queens,metrocard,Metrocard - Full Fare,9,0,40.74414825,-73.91255188,POINT (-73.91255187988281 40.74414825439453)
02/1/22 0:00:00,subway,457,52 St (7),Queens,metrocard,Metrocard - Other,1,0,40.74414825,-73.91255188,POINT (-73.91255187988281 40.74414825439453)
02/1/22 0:00:00,subway,457,52 St (7),Queens,metrocard,Metrocard - Unlimited 30-Day,2,0,40.74414825,-73.91255188,POINT (-73.91255187988281 40.74414825439453)
02/1/22 0:00:00,subway,457,52 St (7),Queens,metrocard,Metrocard - Unlimited 7-Day,3,0,40.74414825,-73.91255188,POINT (-73.91255187988281 40.74414825439453)
02/1/22 0:00:00,subway,458,46 St-Bliss St (7),Queens,metrocard,Metrocard - Full Fare,10,0,40.74313354,-73.91843414,POINT (-73.9184341430664 40.743133544921875)
02/1/22 0:00:00,subway,458,46 St-Bliss St (7),Queens,metrocard,Metrocard - Other,3,0,40.74313354,-73.91843414,POINT (-73.9184341430664 40.743133544921875)
02/1/22 0:00:00,subway,458,46 St-Bliss St (7),Queens,metrocard,Metrocard - Fair Fare,1,0,40.74313354,-73.91843414,POINT (-73.9184341430664 40.743133544921875)
02/1/22 0:00:00,subway,458,46 St-Bliss St (7),Queens,metrocard,Metrocard - Seniors & Disability,1,0,40.74313354,-73.91843414,POINT (-73.9184341430664 40.743133544921875)
02/1/22 0:00:00,subway,458,46 St-Bliss St (7),Queens,metrocard,Metrocard - Unlimited 30-Day,2,0,40.74313354,-73.91843414,POINT (-73.9184341430664 40.743133544921875)
02/1/22 0:00:00,subway,458,46 St-Bliss St (7),Queens,metrocard,Metrocard - Unlimited 7-Day,15,0,40.74313354,-73.91843414,POINT (-73.9184341430664 40.743133544921875)
02/1/22 0:00:00,subway,459,40 St-Lowery St (7),Queens,metrocard,Metrocard - Full Fare,3,0,40.74378204,-73.92401886,POINT (-73.92401885986328 40.74378204345703)
02/1/22 0:00:00,subway,459,40 St-Lowery St (7),Queens,metrocard,Metrocard - Fair Fare,1,0,40.74378204,-73.92401886,POINT (-73.92401885986328 40.74378204345703)
02/1/22 0:00:00,subway,459,40 St-Lowery St (7),Queens,metrocard,Metrocard - Unlimited 30-Day,1,0,40.74378204,-73.92401886,POINT (-73.92401885986328 40.74378204345703)
02/1/22 0:00:00,subway,46,Cortelyou Rd (Q),Brooklyn,metrocard,Metrocard - Fair Fare,1,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/1/22 0:00:00,subway,459,40 St-Lowery St (7),Queens,metrocard,Metrocard - Unlimited 7-Day,2,0,40.74378204,-73.92401886,POINT (-73.92401885986328 40.74378204345703)
02/1/22 0:00:00,subway,46,Cortelyou Rd (Q),Brooklyn,metrocard,Metrocard - Full Fare,3,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/1/22 0:00:00,subway,46,Cortelyou Rd (Q),Brooklyn,metrocard,Metrocard - Unlimited 7-Day,2,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/1/22 0:00:00,subway,46,Cortelyou Rd (Q),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,1,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/1/22 0:00:00,subway,460,33 St-Rawson St (7),Queens,metrocard,Metrocard - Full Fare,4,0,40.74458694,-73.93099976,POINT (-73.93099975585938 40.74458694458008)
02/1/22 0:00:00,subway,460,33 St-Rawson St (7),Queens,metrocard,Metrocard - Other,1,0,40.74458694,-73.93099976,POINT (-73.93099975585938 40.74458694458008)
02/1/22 0:00:00,subway,460,33 St-Rawson St (7),Queens,metrocard,Metrocard - Unlimited 30-Day,3,0,40.74458694,-73.93099976,POINT (-73.93099975585938 40.74458694458008)
02/1/22 0:00:00,subway,460,33 St-Rawson St (7),Queens,metrocard,Metrocard - Unlimited 7-Day,3,0,40.74458694,-73.93099976,POINT (-73.93099975585938 40.74458694458008)
02/1/22 0:00:00,subway,461,"Queensboro Plaza (7,N,W)",Queens,metrocard,Metrocard - Full Fare,21,3,40.75058365,-73.94020081,POINT (-73.94020080566406 40.75058364868164)
02/1/22 0:00:00,subway,50,Avenue M (Q),Brooklyn,metrocard,Metrocard - Full Fare,2,2,40.61761856,-73.95939636,POINT (-73.95939636230469 40.617618560791016)
02/1/22 0:00:00,subway,461,"Queensboro Plaza (7,N,W)",Queens,metrocard,Metrocard - Fair Fare,1,0,40.75058365,-73.94020081,POINT (-73.94020080566406 40.75058364868164)
02/1/22 0:00:00,subway,461,"Queensboro Plaza (7,N,W)",Queens,metrocard,Metrocard - Seniors & Disability,2,1,40.75058365,-73.94020081,POINT (-73.94020080566406 40.75058364868164)
02/1/22 0:00:00,subway,461,"Queensboro Plaza (7,N,W)",Queens,metrocard,Metrocard - Other,5,0,40.75058365,-73.94020081,POINT (-73.94020080566406 40.75058364868164)
02/1/22 0:00:00,subway,461,"Queensboro Plaza (7,N,W)",Queens,metrocard,Metrocard - Unlimited 30-Day,10,0,40.75058365,-73.94020081,POINT (-73.94020080566406 40.75058364868164)
02/1/22 0:00:00,subway,461,"Queensboro Plaza (7,N,W)",Queens,metrocard,Metrocard - Unlimited 7-Day,8,0,40.75058365,-73.94020081,POINT (-73.94020080566406 40.75058364868164)
02/1/22 0:00:00,subway,463,Hunters Point Av (7),Queens,metrocard,Metrocard - Fair Fare,2,0,40.7422142,-73.94891357,POINT (-73.94891357421875 40.74221420288086)
02/1/22 0:00:00,subway,463,Hunters Point Av (7),Queens,metrocard,Metrocard - Full Fare,11,0,40.7422142,-73.94891357,POINT (-73.94891357421875 40.74221420288086)
02/1/22 0:00:00,subway,463,Hunters Point Av (7),Queens,metrocard,Metrocard - Unlimited 30-Day,2,0,40.7422142,-73.94891357,POINT (-73.94891357421875 40.74221420288086)
02/1/22 0:00:00,subway,463,Hunters Point Av (7),Queens,metrocard,Metrocard - Unlimited 7-Day,5,0,40.7422142,-73.94891357,POINT (-73.94891357421875 40.74221420288086)
02/1/22 0:00:00,subway,464,Vernon Blvd-Jackson Av (7),Queens,metrocard,Metrocard - Other,3,0,40.74262619,-73.95358276,POINT (-73.95358276367188 40.74262619018555)
02/1/22 0:00:00,subway,464,Vernon Blvd-Jackson Av (7),Queens,metrocard,Metrocard - Seniors & Disability,1,0,40.74262619,-73.95358276,POINT (-73.95358276367188 40.74262619018555)
02/1/22 0:00:00,subway,464,Vernon Blvd-Jackson Av (7),Queens,metrocard,Metrocard - Full Fare,11,0,40.74262619,-73.95358276,POINT (-73.95358276367188 40.74262619018555)
02/1/22 0:00:00,subway,464,Vernon Blvd-Jackson Av (7),Queens,metrocard,Metrocard - Unlimited 30-Day,1,0,40.74262619,-73.95358276,POINT (-73.95358276367188 40.74262619018555)
02/1/22 0:00:00,subway,464,Vernon Blvd-Jackson Av (7),Queens,metrocard,Metrocard - Unlimited 7-Day,5,0,40.74262619,-73.95358276,POINT (-73.95358276367188 40.74262619018555)
02/1/22 0:00:00,subway,47,"Newkirk Plaza (B,Q)",Brooklyn,metrocard,Metrocard - Fair Fare,3,0,40.63508224,-73.96279144,POINT (-73.9627914428711 40.63508224487305)
02/1/22 1:00:00,subway,447,Flushing-Main St (7),Queens,metrocard,Metrocard - Full Fare,19,10,40.75960159,-73.83003235,POINT (-73.83003234863281 40.75960159301758)
02/1/22 1:00:00,subway,447,Flushing-Main St (7),Queens,metrocard,Metrocard - Fair Fare,1,1,40.75960159,-73.83003235,POINT (-73.83003234863281 40.75960159301758)
02/1/22 1:00:00,subway,447,Flushing-Main St (7),Queens,metrocard,Metrocard - Other,8,0,40.75960159,-73.83003235,POINT (-73.83003234863281 40.75960159301758)
