transit_timestamp,transit_mode,station_complex_id,station_complex,Line,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
02/01/22 4:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,3,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 4:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,16,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 4:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,1,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 4:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,3,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 4:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,2,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 4:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,8,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 4:00:00,subway,47,"Newkirk Plaza (B,Q)",Q,Brooklyn,metrocard,Metrocard - Fair Fare,2,0,40.63508224,-73.96279144,POINT (-73.9627914428711 40.63508224487305)
02/01/22 5:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,18,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 5:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,3,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 5:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,9,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 5:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,11,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 5:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,10,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 5:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,3,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 5:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,40,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 5:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,7,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 5:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,9,1,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 5:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,19,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 5:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,12,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 5:00:00,subway,47,"Newkirk Plaza (B,Q)",Q,Brooklyn,metrocard,Metrocard - Fair Fare,3,0,40.63508224,-73.96279144,POINT (-73.9627914428711 40.63508224487305)
02/01/22 6:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,40,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 6:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,6,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 6:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,5,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 6:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Students,4,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 6:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,5,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 6:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,25,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 6:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,18,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 6:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,6,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 6:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,11,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 6:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,89,1,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 6:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,16,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 6:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,36,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 6:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,37,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 6:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Students,3,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 6:00:00,subway,47,"Newkirk Plaza (B,Q)",Q,Brooklyn,metrocard,Metrocard - Fair Fare,16,1,40.63508224,-73.96279144,POINT (-73.9627914428711 40.63508224487305)
02/01/22 7:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,4,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 7:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,75,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 7:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Students,7,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 7:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,12,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 7:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,9,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 7:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,24,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 7:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,49,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 7:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,14,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 7:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,12,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 7:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,125,4,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 7:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,19,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 7:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,76,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 7:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,55,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 7:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Students,18,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 7:00:00,subway,47,"Newkirk Plaza (B,Q)",Q,Brooklyn,metrocard,Metrocard - Fair Fare,22,0,40.63508224,-73.96279144,POINT (-73.9627914428711 40.63508224487305)
02/01/22 8:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,64,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 8:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,5,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 8:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,4,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
